상품명,구매자 이름,구매자 평점,리뷰 제목,리뷰 내용,맛 만족도
"에이투 유선 텐키리스 기계식 적축 게이밍 키보드, AG0301, 화이트",셍지,5,대만족.. 인생 두번째 기계식 키보드,기계식 키보드가 좋은데 소음때매ㅠㅠ 고민하다가 저번에 작은사이즈 (화살표 방향키가 없는 형태)를 받았었거든요근데 그게 키감이 너무 너무 좋고 적축인데 생각보다 소음이 아주 심하지도않고 너무 좋은거에요 ㅠㅠ그런데 아쉽게도 크기때문에 너무 불편해서.. 당근에 팔았습니다그후에 블루투스 키보드도 샀었는데 이건 납작하고 그래서 손목이 아프더라구요? 누를때 깊이감이 없으니까 아프고..그러다가 얘를 만나게됐는데 대박적이에요ㅠㅠ우선 청축이랑 다르게 소음이 비교적 덜하구요 (다만 조용한 장소에서는 좀 그렇고 가정용으로 적합합니다. 전 소리가 너무 좋아서 계속 치고싶어요)적축이라 청축보다 오타도 덜납니다.전에쓰던 키보드는 키의 높이가 낮아서 힘줘서치면 손목이 아팠는데 얘는 그것도 없어요!진짜 유일한 단점은 오른쪽에 숫자키가 없다는것.. 근데 이건 취향차이니까요!그리고 엘이디도 너무 영롱해요ㅠㅠ 모드가 5개인가? 있는데 전 1번이랑 2번이 제일좋아요~ 사진상이 1번인에 전 이걸로 고정사용할것같습니다. 진짜 너무 이뻐요 ㅡㅠㅠ집에있는 블루투스 키보드는 아이패드에 양보하고 그냥 얘로 정착할생각이랍니다!! 선도 길어서 피씨에 연결하는데 큰 문제없었구요검정색도 깔끔하긴한테 엘이디색이랑은 하얀색이 더 잘어울리는것 같아요~전 이제 다시 일반키보드로 못돌아갈꺼같아요ㅠㅠ집에 거실에 있는 컴퓨터는 일반 키보드인데 키감이 확실히 다릅니다..! 무게감도 적당히 있고 너무 좋습니다 추천추천 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.,기대보다 조용해요
"에이투 유선 텐키리스 기계식 적축 게이밍 키보드, AG0301, 블랙",타마타마,4,등록된 헤드라인이 없습니다,"기계식 키보드를 선호하지 않는 이유 중 하나가 소음인데요..^^;;;기계식은 사용하면서 생기는 소음은 어쩔 수 없는 거 같습니다;정말 15년도쯤 같은 사무실에서 기계식 쓰시는 분이 계셨는데 작은공간이라서 굉장히 소리가 민감하게 다가 왔었거든요.쿠팡 체험단을 통해 기계식 키보드를 사용해 보게 되었는데요ㅋㅋㅋ 집에서도 사용해보고, 회사에 가져와서 사용해 보는데 소음 부분은 감안하고 사용을 하시지 않으면 안 되실 것 같아요.ㅋㅋㅋ 피시방엔는기계식 키보드가 기본사양으로 갖쳐 있고, 또 요즘엔 사무실에 개인장비(?)를 두고 쓰는 분들이 많기 때문에 사무실에서도 쉽게 볼 수 있긴합니다. ^^;;그래서 이제는 회사 사무실에서는 눈치보고 쓰시는 분들이 별로 없긴합니다. 업무 특성상 기계식 키보드 사용시 능률이 좋아 진다면 굳이 뭐라고는 하지 않으니깐요ㅎㅎㅎ 텐키가 있으면 저도 회사 두고 쓸 것 같은데ㅋㅋㅋ 제 업무 특성항 텐키를 많이 쓰는 일이다보니 ㅠㅠㅠㅠ숫자키가 없는 건 좀 아쉬웠어요ㅠㅠㅠ 근데 텐키가 없으니깐 사이즈가 줄어드니깐 확실이 책상 공간이 확보가되는건 눈에 보이네요ㅠ_ㅠ 집에서 사용 할  때는 텐키를 쓸일이 거의없어서 블루투스 키보드도 텐키리스 사용하거든요....허허허...^^;;;그래서 집에서 쓰려고 합니다 ㅋㅋㅋ 백라이트 조절이 5가지나 되네요.1번의 경우는 가장 일반적(켜져있음) 2번 같은 경우는 백라이트가 잠김버튼 빼고 모두 꺼집니다. 키를 누를때 백라이트가 켜죠요 ㅋㅋㅋ그리고나머지 3~5번은 일정한 패턴으로 조명이 깜박입니다 ㅋㅋㅋ 백라이트꺼짐도 물론 있구요^^ㅋㅋㅋ 지금 후기도 에이투 유선 텐키리스 기계식 적축 게이밍 키보드로 작성하고 있는데 고가 기계식 키보드보다는 키감이나 기계식 느낌은 좀 떨어지는 것 같은데, 가격대비 디자인, 사용도면에선 괜찮은 제품인거 같아요! 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",기대보다 소리가 커요
"에이투 유선 텐키리스 기계식 적축 게이밍 키보드, AG0301, 블랙",제뤼니,5,가성비 구구구굿,키보드는 사도 모으고 싶고 더 좋은게 있으면 써보고싶은거 저만 그런가요? 제가 좋아하는 키보드는 적축쪽인데 이번에 좋은기회로 체험해보게 되었습니다!요새 키보드의 대세는 텐키리스라고 할만큼 텐키리스 제품이 참 많이 나오고 많이 보이는데요 아무래도 효율적인 공간 사용을 위해서 많이 출시되고 있는 것 같아요 저도 텐키리스를 사용해본 건 얼마 되지않았지만 확실히 사무적인 일을 하지않으면 키를 잘 안쓰기 때문에 집에서 사용하기 편하고 좋은 제품이라고 생각해용적축이 다른 축보다 소음이 적은 편인데 이 제품 역시 소음이 많이 크지 않아서 밤에 게임할 때도 굉장히 유용하더라구요 그렇지만 또 저소음 보다 키보드 치는 맛이 있어 매우 맘에 듭니다 ㅎㅎ그리고 보통 저렴한 키보드의 경우 프린팅이 지워질 수 있지만 이 키보드는 이중사출키캡으로 절대 지워지지 않는다고 하더라구요 저 역시 받고 일주일 정도로는 판단이 어렵겠지만 지금까지는 문제 없이 잘 사용중입니다. 그리고 디자인 또한 안 볼수가 없잖아요 저 역시 화려한거 좋아하거든요 ㅋㅋ 그래서 연결하자마자 불 화려하게 들어오는거 보고 만족 했습니다. 심지어 LED 모드 설정도 있더라구요 커스터마이징도 가능하니까 불빛 환장하시면 추천 드립니다. 마지막으로 제일 중요한 게임할 때 반응속도 가격대비 아주 좋아요 가가가강추 그리고 키보드에 잘 없는 높이 조절 받침 까지... 이정도로 가성비 좋은 키보드 없는 것 같아요 저는 나중에 누가 키보드 추천해달라고 하면 이거 추천하려구요굳이 아쉬운 걸 적자면 처음 키보드 덮개가 안맞아요.. 그거 딱 하나 아쉬워여.. 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.,기대보다 조용해요
"에이투 유선 텐키리스 기계식 적축 게이밍 키보드, AG0301, 블랙",꼬미b,5,등록된 헤드라인이 없습니다,"?에이투 유선 텐키리스 기계식 적축 게이밍 키보드, AG0301, 블랙? 주문일: 23. 5. 30 ? 도착일: 23. 5. 31 도착 (로켓와우 배송) 오래 사용하고 귀찮아서 청소도 잘 안된 키보드를 벗어나 예쁜 키보드를 체험해보게 되었어요 에이투 유선 텐키리스 키보드는 키패드 부분이 없는 작은 크기의 키보드로,  일반적인 풀 사이즈 키보드에 비해 공간을 절약하고 휴대성이 높아요!  게이밍에 필요한 키패드가 없을 수 있으나, 많은 게이머들이 이 크기를 선호한다고 하네요! 일반 키보드는 104Key이고 텐키리스 키보드는 87Key입니다! 그래서 저 역시 즐겨하는 게임에 익숙했던 단축키(자동 달리기, 시야 축소, 확대 등)를  사용할 수 없어서 불편하진 않을까 고민이 되었는데, 게임내에서 키 조정 몇 개 해주니 금새 손에 익게 되어 편하게 게임을 즐길 수 있었어요 무엇보다 마우스 자리가 넓어져서 공간 활용에도 좋네요? 구성품: 키보드, 키캡리무버, 청소 브러쉬(무척 맘에 듬ㅎㅎ)? 기계식 키보드 기계식 키보드는 전통적인 고전식 키보드와는 다르게  적축 스위치를 사용하여 키 입력을 감지하는 방식입니다.  적축 스위치는 키를 누르는 순간에 작동하며  게임에서는 빠른 반응과 정확한 입력이 중요하기 때문에, 많은 게이머들이 기계식 키보드를 선호한다고해요?LED 이팩트 컬러 퍼포먼스와 함께 커스터 마이징 기능으로 사용하고 싶은 색감을 나타낼 수 있어요 밝기, 속도변화 외에도 여러가지 모드를 쉽게 설정해줄 수 있어요!?한/영 이중사출 ASB 키캡으로 자주 사용하는 키의 폰트가 지워지는 일을 방지해준다고해요 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",기대보다 조용해요
"에이투 유선 텐키리스 기계식 적축 게이밍 키보드, AG0301, 화이트",뮨뮤,5,등록된 헤드라인이 없습니다,"안녕하세요 뮨뮵니다. [기계식 키보드??]사실 80년대말, 90년대 초 퍼스컴을 쓰던 사람들이라면누구나 집집마다 세진전자의 skm-1080을 쓰고 있었을 건데요,저도 그렇고요. 후타바스위치가 들어있었죠.집에 있던, 제조사는 기억 안나는데 또 다른 한 대의파소콤은 알프스스위치 들어간 키보드였던 거 같구요.어쨌거나 구시대의 산물인 그 기계식키보드가다시 붐이라는 게 저는 좀 신기했습니다. [그런데 기계식키보드 왜 필요해졌나?]저는 일하면서 랩톱에 달린 펜타그래프 키보드나아이솔레이션키보드를 그냥 쓰자는 주의라서 주어진대로 쓰고 있었는데요, 제가 나이를 먹어서 그런건가모르겠지만 오타가 엄청나는 겁니다. 일할 때 오타나는 거 그거 능률을 정말 떨어트리죠. 그래서 값싼 멤브레인을 쓰고 있었는데(이건 좀 낫더라고요)그게 좀 깊고 세게 눌러야 인식이 되요. 쓰면 쓸 수록 손가락도 아프고, 여기저기 검색해보니 기계식 적축? 이게 그나마얕고 쉽게 눌러진다는군요. 그래서 기계식 키보드를좀 알아보았던 겁니다. 물론 무접점이나 광축 같은진짜 손구락 안 아프겠구나 하는 키보드도 있지만일할 때 그런 건 너무 비싸잖습니까?여하튼 기계식스위치의 세계는 제가 생각했던 것보다심오하더군요. 옛날엔 어차피 다 기계식이고 세진밖에안 파니까 그냥 고민없이 사다 썼는데,뭔 스위치 색깔부터 스위치 제조사까지 골라가며 선택이라니...전 제가 쓰던 그 세진키보드가 후타바축을 쓴건지도이번에 알게 됐습니다. 왜 이렇게 어려운 세상이 되었을까요. [기계식키보드를 선택하다.]그러던 중 정말 운 좋게도체험단 상품에 적축 기계식 키보드가 떠있는 겁니다.그래서 직접 체험하며 요즘의 기계식키보드는 어떤지확인해보기 위해 이 상품을 선택했습니다.[텐키리스]옛날에도 그랬지만 우리나라사람들 참 영어 좋아하죠?그냥 “숫자키 없음”이라고 하면 될걸 굳이 영어 고대로 따와서텐키리스. 어쨌든 이 제품은 엑셀 많이 쓰시는 분들에게는 다소치명적일 수도 있습니다. 저는 그냥 숫자키보드를하나 더 살 계획이기때문에 큰 문제는 없습니다만그렇지 않은 분들은 텐키리스는 한 번 더 고민해 보시길. 원래 있다가 없는 게 확 티 납니다. [휘황찬란led]제가 다니는 회사는 업계에서 알아주는 보수적인 회사,이거 잘못하다간 키보드 불빛때문에 혼나는 거 아닌가걱정했지만 이 키보드는 양옆의 불과 키에 들어오는 등을모두 끌 수가 있었습니다. 다행이죠. 정말 다행입니다. (안도)[키 입력시 소음]저는 기본적으로 시끄러운 키보드를 싫어합니다. 어린시절 쓰던 그 세진키보드도“철컥 찰칵 퉁퉁 딸깍 착, 척, 찰칵 ....” 이딴 소리가 너무 싫어서멤브레인 나오자마자 좋다고 당장에 바꿨죠.이 키보드는.... 소리가 아예 없지는 않지만그래도 상당히 조용한 편입니다. 제가 기계식 이거저거 다 눌러봤지만청축 갈축 적축이 있다면 단연 적축이제일 조용하고 얕게 눌러지는 거 같습니다.이 제품도 적축이라 조용하고 얕습니다 [잘 눌리는가? 손이 안 아픈가?]이 상품은요, 제가 쓰고있던 싸구려알텍랜싱 멤브레인보다, 집에 놓고 쓰는 로지텍 멤브레인보다손가락 힘을 덜 줘도 키가 잘 눌립니다.하루 써봤는데 손가락이 안 아파서 정말 감동받았습니다.(눈물)[그외]제 기준에 좋은 키보드는 일단 바닥에 놓고 흔들었을 때키가 안 흔들려야 합니다. 손가락을 그냥 올려만 놓았을 때도키 흔들림이 없어야 합니다. 그리고 힘을 적게 줘도잘 눌려야 합니다. 이 상품은 이 기준 모두를 만족합니다. 굿!![결론]장점 : 적축, 넌클릭. 힘 적게 줘도 됨. 손가락 안 아픔, 화려한 led, led끌 수 있음, 바닥에 놓으면 안 밀림. 소음 적은 편, 저렴한 편. 단점 : 스위치제조사 불명(아마 jixian또는 후아노 일듯), 스위치교체형이 아님. 5000만회 보장이라는 거 보니 오테뮤gtmx일지도... 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",기대보다 조용해요
"에이투 유선 텐키리스 기계식 적축 게이밍 키보드, AG0301, 블랙",꼬니야,5,가성비 키보드,"평소에 게임을 즐겨하지 않지만 게이밍 키보드 청축,갈축,적축이 있다는건 알고있었습니다집에서 늘 게임하는 남친을 위해 선물하려고 키보드로 픽해서 체험해보게 되었습니다 집에 갖고있는 키보드는 청축,갈축 두개 있어요청축은 딸깍거리는 소리가 심하게 나서? 집에서 쓰기엔 새벽에 너무 시끄럽더라구요대신 자판 타격감은 좋은편이긴 합니다..소음으로 인해 청축키보드는 방치하고 있고 지금 쓰고있는 키보드는 갈축 쓰고 있었습니다갈축도 새벽에는 소음이 있는편입니다..이번에 에이밍 기계식 적축 게이밍 키보드 오자마자 개봉해서 눌러보니 엄청 부드럽게 눌리네요소음도 지금 쓰는 갈축보단 없는거 같구요적축에 장점인듯 하네요? 택배왔을때 개봉해보니 누런박스만 있길래 그게 제품박스인줄 알았는데 그속안에 다시 박스 포장으로 되있더라구요구성품은 키보드랑 키보드덮개,솔,키집게 이렇게 들어있네요가성비 키보드라고 들었던거 같은데 생각보다 퀄리티가 좋았습니다LED? 모드도 기존에 쓰는 키보드보다 다양하고 모드가 여러가지라 골라서 이쁘게 켜놓으면 되겠습니다 ~! 그리고 이 키보드는 숫자판이 없어서 공간활용에 좋을꺼 같아요숫자판 없어서 적응이 쫌 안되지만 게임용으론 마우스 공간을 넓게 쓸수 있어서 좋아요 또다른 장점으론? 집에 고양이 키우고 있어서 털때문에 덮개 늘 사용하고 있는데? 키보드 덮개도 강도가 약해보이지 않아서 마음에 드네요 단단한편이라 냥이가 밟아도..금방 망가지지 않을꺼 같네요 다른 기능적인 면에서는 전 컴알못이라 좋은지 나쁜지 잘모르겠지만?? 우선 소음이 크지 않고? 부드럽게 눌리는게그점에서는 만족스럽네요 남친도 사용해보고 괜찮은거 같다 하니 뭐 나쁘지않은 선택이였던거 같습니다 ㅎㅎ 적축 입문용으로 가격면에서는 매우 저렴하진 않지만적당히 쓸만하다가 생각 됩니다LED도 모드가 여러개라 골라쓸수 있고 외관도 괜찮고소음과,공간활용에 좋은 키보드라 전 추천 드립니다 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",기대보다 조용해요
"에이투 유선 텐키리스 기계식 적축 게이밍 키보드, AG0301, 화이트",공대키메라,5,저렴한 가격대 적축 키보드! 가벼운 키감! 쓸만하네요!,"[구매 이유]키보드를 좀 새로운것을 사용하고 싶었습니다. 키감이 안좋은 싸구려 키보드를 쓰고 있었는데 마침 쿠팡 체험단으로 해당 제품을 알게 되었고, 바로 구매를 했습니다.[외관]외관은 오우... 굉장히 마음에 들었습니다.마음에 든 이유는 흰색 바탕에 키들이 약간 무지개빛? 나는 그런 색이었어서 영롱한 느낌이 있더라고요.색도 여러개 조작이 가능하고, 양 옆으로 밑에 색이 또 나오니 밤에 볼만합니다.[성능]성능은 뭐.. 적축 기계식 키보드입니다.저렴한 가격에 이정도 퀄리티면 사실 입문으로 매우 추천드립니다.무접점 키보드나 그런거 사용하는거보다는 물론 부족하지만, 이 정도의 성능이면 굉장히 양호합니다.사무실에서 직장 동료들과 사용해보고 후기를 또 들어본 결과 키감이 가벼운 편입니다. 청량감이 있는 느낌? 이 가격대 치고는 키감이 그렇다면 나쁘지 않은거죠!무거운 키감을 좋아하시는 분들은 모르겟지만 저는 좀 가벼운것을 원하는 편이라서요.[소리]솔직히 사무실에서는 쓰기가 살짝 눈치가 보이는 편입니다. 눈치가 보인다는게 이게 소리 떄문이죠. 따각 따각 하는게 생각보다 좀 더 작앗으면 좋을거 같은데 저련한 제품은 역시 저렴한거라서...혼자 집에서 사용하려고요. 근데 귀찮아서 아직도 그냥 사용중이긴 헙니다.조심조심 해가면서 사용하면 엄청 큰거같지도 않은데 말입니다. 아무래도 사무실에서 키보드를 만지는 직업이다보니 더욱 신경쓰이는거같네요.[결론]다같이 있는 조용한 장소에서 쓸 정도의 조용함은 아닌거 같습니다.그래도 이 가격대에 조용한 편에 속합니다. 키감도 나쁘지 않고 오히려 훌륭한 축에 속합니다.입문으로 기계식 키보드를 사용하기 원하신다면 해당 체품을 추천드립니다! 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.",기대보다 소리가 커요
"에이투 유선 텐키리스 기계식 적축 게이밍 키보드, AG0301, 블랙",배은지,5,타건감도 타건음도 모두 다 만족!,지금 리뷰 적을때도 이 키보드로 두둘기면서 적고 있는데 너무 부드러워서 계속 타자를 치고싶어지는 키보드입니다!!적축이라 그런지 타격감이 굉장히 부드러우면서 청축이랑 엄청 비교되게 소음이 적습니다 부드러운데 너무 가볍지도 무겁지도 않은 완전 적당한 무게감! 어쩜 이렇게 계속 타이핑 하고싶게 만드는지ㅠㅠ이건 사용 해보지 않으면 모르실것 같아요 예전에 이 키보드 가격보다 두배나 비싼 키보드를 구매한적 있는데 상단에 있는 f1 f2 없는 제품이었고 제품 무게도 가격만큼 두배나 무거웠는데 너무 불편해서 그냥 친구줘버렸는데 왜 이제품이 더 저렴한지 이해가 안가네요...키보드 덮개도 있어서 사용 안할때 덮고 사용하니 청소를 자주 안해줘도 돼서 청소하는 번거로움도 줄게되고 led 모드도 다양해서 기분에따라 바꾸니 질리지도 않는데 신선했던건 밝기조절까지 되는 키보드는 처음봤어여 ㅋㅋㅋ그래도 여러가지 기능이 많으니 찾아보는 재미도 있어서 더 만족스럽습니다 굳이 단점을 적으라한다면 선이 키보드에 붙어 있어서 사용 안할때 선을 따로 보관이 안돼서 칭칭 감게 될것같은데 뭐...이걸 단점이라해야 할지 모르겠지만..사실 안불편할것 같은데 전에 사용했던 키보드는 선이 일체형이 아니었던거라 비교하게되니 적어봅니다ㅋㅋ계속 좋다좋다라고만 적은거 같은데 솔직하게 너무나 만족스러운 제품이에요 가격도 매우 착한거 같은데 제가 원하는 타건감ㅜㅜ 완전 부드럽고 소음이 있는듯 없는듯한 타건음!!아직은 사용한지 얼마 안돼서 너무 잘사용하고 있는데 제발 고장이 잘 안났음 하네요!! 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.,기대보다 조용해요
"에이투 유선 텐키리스 기계식 적축 게이밍 키보드, AG0301, 블랙",꽁알이맘,5,남편이 좋아해요ㅎ,------------♡-----------♡-------------> 상품명  :  에이투 유선 텐키리스 기계식 적축 게이밍 키보드> 키보드 형태 : 텐키리스> 모델명 /  품번 : AG0301> 색상 : 블랙> 배송완료일  : 05.31----------♡------------♡---------------* 꽁알맘의 상품리뷰*  안녕하세요 꽁알맘이에요 얼마 전에 둘째가 남편이 컴퓨터 하는거 보고올라가서 키보드를 자꾸 누르고 하다보니  고장이 나서 키보드가 잘 움직이지 안아서 새로 사야겠다 생각했는데 쿠팡체험단에  당첨이 되어서 에이투 유선 텐키리스 기계식 적축 게이밍 키보드를 신청하게 되었어요 ?? 에이투 유선 텐키리스 기계식 적축 게이밍 키보드 보다 완벽한 게이밍을 위해 리니어 타입의 적축을 적용하여 낮은 동작압으로 타이핑이 부드러워 손목에 무리가 크지 않고 경쾌한 타건감을 제공해서 소음을 크지 최소화 하였데요체리식 스테빌라이저를 적용하여서 뒤틀림을 방지하고 키보드 축이수평을 유지하면서 일정한 압력을 누를수 있도록 설계 하였고반응성 최적화 안티고스팅 기능과 실시간 동시반응 폴링레이트 87key로 효율적이게 공간확복해주고 다채로운 컬러도 나와요?? 에이투 유선 텐키리스 기계식 적축 게이밍 키보드  사용후기일단 택배 받자마자 남편이 풀러보더라구요ㅎ안에 키보드 덮개와 청소하는 솔을 보내주어서 좋았고키보드 소리가 크지 않고 편안하게 눌러서남편이 넘 만족해 하네요ㅎ 아껴쓴다고 다시 넣어놓았어요?? 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.,기대보다 조용해요
"에이투 유선 텐키리스 기계식 적축 게이밍 키보드, AG0301, 화이트",이*철,5,작고 아담하네요.ㅎ,게임용 키보드를 사용하다가 너무 더러워 청소하고 사용할려고했는데 쓴지도 오래됬고 청소하기도 귀찮기도하고ㅋㅋ해서 하나 구입하려고 했는데 운좋게 쿠팡체험단에 당첨되어 구매하였습니다. 감사합니다.구매날자 23.5.30도착날자 23.5.31쿠팡봉지에 담아져 배송되었길래 설마했는데 비닐봉투안에박스에 담아져있고 박스안에 이너박스가 있어서 안심했네요.이너박스는 AG0310 고유의 박스네요.내용물키보드본체. 키보드커버. 청소용붓. 키캡리무버. 키보드본체는 얇은 비닐로 포장되어있고 청소용붓하고 키캡리무버는 따로 포장되어있네요. 키캡리무버랑 청소용붓이 같이 와서 놀랐고 포장이 잘되어있어서 놀랐네요.ㅎ키보드 디자인키보드는 일반 키보드보다 작은사이즈 입니다. 오른쪽에 숫자 키가 없어서 크기가 가로 358mm  세로 130mm 네요.색은 하얀색무광인데 정말 고급져보입니다. LED 조명이 있어서 그런지 하얀색과 무지개빛 조명이 잘 어울려요. 다만밤에 불꺼놓고 사용하면 번쩍번쩍해서 눈에 부담이 갈수도있을꺼같은ㅋ 뒷면에 높이조절 받침이 있어서 높이조절이편하고 미끄럼방지 패드가 있어서 미끄러지지않게 해줘요.타격감기계식 키보드는 청축 갈축 적축 이렇게있는데 청축>갈축>적축 순으로 소음이 심합니다. 청축은 자판 누를떼마다 탁탁탁 이런식으로 소리가 나고 갈축은 틱틱틱 이렇게적축은 청축갈축에 비해 소리가 안난다고 생각하시면 될꺼같아요. 타격감은 청축이 누를떼마다 탁탁소리가나서 좋지만소음이 엄청나죠ㅋ 에이투 키보드는 적축이라 소음이 거의없는편입니다. 갈축 키보드를 쓰다가 적축써보니 그냥 노트북키보드같아요. 조용히 작업하는데 좋을꺼 같습니다. LED모드 설정가능설명서가 따로없어서 아쉽기는하지만 인터넷 조금만 검색해보면 다나오니깐 뭐 없어도 아쉽지는 않네요.ㅎ이건 제품설명에도 나와있으니 굳이 따로 적지는 않겠습니다.여러가지 모드로 설정이 가능해서 쉽게 질리지 않을꺼 같아서좋네요.총평일단 가격이 맘에들어요. 기계식 키보드이면서 작고 깔끔한 디자인에 LED모드 설정도 가능하고 작아서 휴대하기도편하고 선이 길어서 사용하기 편리한데 선정리 하기편하게찍찍이도 달려있어서 뭐하나 아쉬운게 없는 제품이네요.ㅎ제 리뷰가 도움이 되시길 바랄께요~ 쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다.,기대보다 조용해요
