,상품명,리뷰,구매자 평점
39873,"펜톤 TSX 다이아팟 블루투스 5.3 이어폰 커널형 버즈, TSX Diapot, 블랙",직업 통화 일 많다 신랑 쓰기 펜톤 블루 투스 무선 이어폰 가성 비 좋다 사용 고이다 디자인 이름 보석 벤치마킹 하다 제품 그렇다 이어 버드 다이아 표현 하다 같이 각진 모양 케이스 들다 대부분 둥글다 모양 이어 버드 특이하다 케이스 보석함 모양 브랜드 로고 적히다 검정 케이스 무난 깔끔 디자인 음질 코 푸다 소재 항공 티타늄 재질 제작 되다 베이스 중저음 구분 강하다 음역 세밀 듣다 있다 원음 가깝다 정도 사운드 즐 길다 장점 있다 무게 부기 능 버드 엄청 가볍다 보통 타제 품다 이어 버드 5G 이상인 비하다 귀 오랜 시간 착용 분 이 작 차이다 크다 느끼다 같다 그리고 주변 소리 감지 기능 있다 변경 주변 소리 감지 되다 일반 모드 사용 이어 버드 본체 간 길다 터치 주변 소리 감지 하다 모드 변경 되다 노래 듣다 누구 옆 오다 말다 걸다 이어폰 빼다 하다 이 기능 사용 이런 번거로움 없다 등급 방수 가능 물 빠지다 안심 배터리 완충 시간 동안 이용 가능 케이스 꽂다 필요 이용 시간 쓸다 수 있다 장시간 여행 시 사용 지루 즐겁다 여행 있다 이런 가성 비 좋다 무선 이어폰 신랑 써보다 정말 괜찮다 좋아하다 쿠 팡 체험단 이벤트 상품 무료 제공 받다 작성 하다 구매 후기,1
39874,"펜톤 TSX 다이아팟 블루투스 5.3 이어폰 커널형 버즈, TSX Diapot, 블랙",디자인 너무 이쁘다 ^^ 우선 받다 자그마 상자 사진 너무 이쁘다 ^^ 포장 너무 잘 되다 오다 ^^ 포장 뜯다 보이다 사용 주의 사항 바로 보이 그리고 까맣다 이쁘다 케이스 보이다 ^^ 마크 깔끔 보이다 충전 불 들어오다 부 보이다 케이스 열다 화면 보다 이쁘다 아이 들다 유명하다 이어폰 뒤지다 이쁘다 ㅋㅋ 충전 선 이어 팁 크기 있다 좋다 사용 설명서 너무 잘 되다 사용 좋다 아날로그 줄이다 어폰 선호 사람 복잡 사용 못하다 설명 잘 되다 있다 사용 생각 어렵다 그리고 전자파 안전 인증서 있다 믿음 가다 방수 기능 있다 되다 확인 위하다 물 넣다 용기 없다 못하다 방수 기능 되다 물 들어가다 걱정 안 하다 되다 ^^ ㅋ 주변 소리 감지기 능 있다 음악 듣다 듣다 주변 사람 이야기 하다 하다 때 빼다 이야기 하다 있다 좋다 듯 타입 전화기 충전기 같이 사용 좋다 마우스 펜톤 사용 만족 있다 이어폰 잘 만들다 디자인 깔끔 이쁘다 사용 설명서 잘 되다 있다 이어 팁 크기 있다 귓구멍 크기 따르다 사용 편하다 사용 전자파 안전 인증서 있다 안심 방수 기능 주변 소리 감지기 능 있다 음악 들다 주변인 이야기 가능 이어폰 빼다 필요 없다 타입 충전기 좋다 소리 나쁘다 사용 듣기 괜찮다 가지다 다니다 좋다 가방 속 쏙 잘 사용 해보다 쿠 팡 체험단 이벤트 상품 무료 제공 받다 작성 하다 구매 후기,1
39875,"펜톤 TSX 다이아팟 블루투스 5.3 이어폰 커널형 버즈, TSX Diapot, 블랙",블루 투스 이어폰 저렴 가격 게이 모드 팬 톤 블루 투스 이어폰 주문 배송 완료 구매 도움 되다 바라다 구성 충전 독 양쪽 이어폰 충 선선 안녕 하다 다 써 보다 구매동기 운동 하다 듣다 이어폰 있다 좋다 구매 보통 운동 노래 듣다 그냥 스피커 들다 좋다 하지만 이어폰 귀 꽉 차 외부 소리 알다 들다 운동 더욱 운동 잘 되다 구매 되다 디자인 블루 투스 이름 디자인 다이아몬드 외형 닮다 깎다 모습 꼬리 디자인 사진 참고 하다 좋다 같다 제품 유광 블랙 매끈 모습 깔끔 외형 팬 톤 회사명 프린팅 되다 그 부분 터치 이어폰 조작 모드 해당 제품 옵션 모드 라 게임 하다 켜다 끄다 고르다 해보다 크다 차이 느끼다 못하다 하다 게임 특이 하다 모르다 이어폰 연동 잘 안되다 같다 아마 게임 보이스 톡 기능 있다 이어폰 전화 모드 충돌 되다 같다 모드 지연 시간 거의 없다 배터리 빨리 소모 되다 단점 있다 충전 포트 요즘 거의 공용 사용 되다 타입 충전 포트 부담 없이 웬만하다 다 충전 선이 충전 다만 고속 충전기 사용 경우 배터리 영향 있다 웬만하다 정 속 충전기 사용 제조사 권장 수준 올라오다 좋다 체감 비교 대상 없다 전력 소모 전송속도 보안성 측면 뛰어나다 성능 보이다 그중 전력 소모 전송속도 이어폰 사용 있다 크다 비중 차지 보이다 오래 사용 있다 영상 소리 갭 없다 없다 무선 점 극대화 하다 충전 충전 독 사용 하다 이어폰 충전 최대 가능 한번 충전 시 시간 사용 대학생 때 사용 무선 이어폰 수준 비교 해보면 진짜 기술력 발전 차이 어마어마 느끼다 외부 소리 듣기 따지다 노이즈 캔 슬다 같다 이 기능 별로 인 외부 소리 잡다 이어폰 출력 부딛히다 닫다 떨어지다 둔탁 고음 이어폰 크다 출력 귀 때려다 박다 웬만하다 그냥 빼다 더 좋다 같다 첫 연결 첫 연결 블루 투스 장치 검색 되다 그때 연결 되다 터치 이어폰 전면 부분 정전 터치 부분 터치 횟수 따르다 기능 사용 설명서 있다 잘 숙지 사용 해보다 바라다 총평 운동 하다 사용 좋다 게임 하다 그냥저냥 사용 편리 아주 좋다 블루 투스 이어폰 편하다 하다 직접 구매 후 작성 하다 후기 도움 되다 추천,1
39876,"펜톤 TSX 다이아팟 블루투스 5.3 이어폰 커널형 버즈, TSX Diapot, 블랙",가성 비다 좋다 펜톤 블루 투스 이어폰 사용 하다 후기 알리다 이 제품 무선 연결 잘 되다 이동 운동 하다 때 편리 이어폰 입체음향 기술 적용 되다 현장감 음악 즐기다 특히 베이스 깊다 음질 좋다 음악 듣다 때 더욱 몰입 또한 페이스 터치 제어 가능 노래 넘기다 일시 정지 조작 쉽다 간편 충전 간편 무선 이루어지다 충전 후 최대 시간 사용 있다 일상 많다 이용 가치 제품 하지만 일부 사용자 이어폰 착용 어색 느낌 받다 단점 또한 가끔 이어폰 스마트폰 연결 불안정 하다 경우 발생 하다 종합적 펜톤 블루 투스 이어폰 그 가격 비하다 품질 우수 하다 제품 무선 충전 기능과 좋다 음질 쉽다 조작 인하다 일상 많다 도움 수 일단 가성 비다 좋다 한 구매 사용 좋다 듯,1
39877,"펜톤 TSX 다이아팟 블루투스 5.3 이어폰 커널형 버즈, TSX Diapot, 블랙",여러 중저가 블루 투스 이어폰 사용 음질 끊기다 같다 만족 하다 블루 투스 이어폰 찾다 못하다 고민하 좋다 기회 오다 사용 있다 로켓 배송 주문 후 다음날 바로 배송 받다 있다 블루 투스 이어폰 담기다 작 상자 담기다 겉 쿠 팡 비닐 봉투 담기다 뱅 송이 되다 제품 구성 품다 충전 케이스 이어폰 이어 팁 타입 충전 케이블 제품 특징 블루 투스 탑재 충전 없이 최대 시간 최소 볼륨 기준 음악 연속 재생 가능 안정적 끊기다 없다 고음 음악 재생 최첨단 블루 투스 기술 탑재 좌우 이어폰 자유롭다 스마트폰 마스터 연결 되다 이어폰 비하다 배터리 효율 끊기다 현상 혁신적 개선 되다 스테레오 페어 링 물론 좌우 이어폰 독립적 편리 사용 가능 총 시간 충전 케이스 이어폰 완충 사용 기간 약 사용 가능 하루 시간 기준 이어폰 완충 최대 시간 충전 케이스 사용 하다 이어폰 충전 횟수 최대 탑재 수준 고음 구현 항공 티타늄 소재 다이나믹 드라이버 항공 티타늄 제작 되다 고성능 다이나믹 드라이버 탑재 되다 유효 재생 가능 주파수 한층 더 높이다 베이스 강하다 풍부 중저음 제공 그 앞 코 푸다 소재 진동 막 더 세밀 단단 고음 전하다 왜곡 없이 원음 가깝다 고음 사운드 자랑 몰입도 높다 모드 이어폰 본체 짧다 터치 하다 일반 모드 게이 모드 자유롭다 전환 가능 게이 모드 활용 스마트폰 게임 플레이 하다 유튜브 감상 화면 소리 분리 되다 이상 현상 없다 실행 반응 속도 빠 다 딜레이 없다 사운드 재생 몰입도 높다 게임 플레이 영상 시청 가능 단 게이 모드 사용 이어폰 재생 시간 줄어들다 수 주변 소리 감지기 능 이어폰 본체 간 길다 터치 일반 모드 주변 소리 감지 모드 자유롭다 전환 가능 주변 소리 감지 모드 전환 음성 안내 나오다 반경 미터 내의 주변 소리 오디오 동 듣다 토크 모드 활용 이어폰 빼다 주변 사람 자연 안전 대화 가능 직장 일 하다 때 길 걸다 때 친구 이야기 하다 때 등급 등급 수심 최다 물속 방수 기능 유지 등급 일상생활 발생 비 습기 땀 안전 사용 이어폰 직접 착용 하다 상태 수영장 바다 수영 입수 보증 대상 제외 되다 최대 끊기다 없다 무선 이어폰 최고 무선 송신 자랑 안테나 탑재 전파 방해 없다 곳 최대 끊기다 없이 사용 가능 전파 방해 아주 심하다 지하철 버스 거의 끊기다 없다 자동 연결 충전 케이스 이어폰 꺼내다 순간 전원 자동 켜지다 고 휴대폰 바로 연결 되다 사용 후 충전 케이스 이어폰 넣다 순간 전원 자동 꺼지다 충전 시작 하다 단 처음 사용 휴대폰 등록 사용 전화 통화 스테레오 양쪽 통화 펜톤 고감도 듀얼 마이크 듀얼 스피커 내장 되다 전화 통화 양쪽 이어폰 상대 목소리 들리다 스마트폰 직접 통화 선명 하다 통화 가능 단 사용자 편의 따르다 스테레오 싱글 쉽다 전환 가능 초소형 경량 이어폰 휴대 편리 하다 충전 케이스 동전 작다 초소형 사이즈 와 깃털 같다 가볍다 무게 뛰어나다 휴대 소프트 하다 착용감 갖추다 충전 가능 하다 휴대 케이스 포함 되다 더욱 간편 휴대 작고 고급 디자인 주머니 가방 휴대 편리 쉽다 간단 사용법 전원 켜다 이어폰 중앙 터치 버튼 간 길다 누르다 전원 끄다 이어폰 중앙 터치 버튼 간 길다 누르다 재생 일시 정지 이어폰 중앙 터치 버튼 짧다 누르다 주변 소리 감지 이어폰 중앙 터치 버튼 간 길다 누르다 이전 곡 이동 왼쪽 이어폰 중앙 터치 버튼 짧다 누르다 다음 곡 이동 오른쪽 이어폰 중앙 터치 버튼 짧다 누르다 음량 감소 왼쪽 이어폰 중앙 터치 버튼 짧다 누르다 음량 증가 오른쪽 이어폰 중앙 터치 버튼 짧다 누르다 활성화 이어폰 중앙 터치 버튼 짧다 누르다 게임 모드 이어폰 중앙 터치 버튼 짧다 누르다 주의 사항 하다 충전기 사용 권장 일반 스마트폰 충전기 고속 겸용 충전기 사용 가능 단 단독 급속 전용 충전기 충전 배터리 과열 인하다 제품 고장 원인 되다 사용 안 되다 디자인 예쁘다 충전 편리 휴대 간편 땀 수분 강하다 좋다 또 통화 음악 듣다 때 잡음 없다 끊기다 없다 장점 있다 너무 잘 사용 같다 ㅎ 단지 굳이 단점 찾다 한번 착용 음질 좋다 시간 착용 되다 점 ㅋㅋ 가격 편리 모두 만족 고장 오랫동안 잘 사용 있다 좋다 ㅋ 쿠 팡 체험단 이벤트 상품 무료 제공 받다 작성 하다 구매 후기,1
39878,"펜톤 TSX 다이아팟 블루투스 5.3 이어폰 커널형 버즈, TSX Diapot, 블랙",팬 톤 두 사용 안녕 하다 일단 제품 사양 다른 분 너무 많이 자세히 적다 특별히 또 쓸다 말 없다 같다 ㅎ 본론 들다 전 팬 톤 제품 나다 돈 내다 한번 사용 하다 있다 튼튼 좋다 기억 있다 어서 체험단 기회 때 이 회사 제품 보이다 바로 주저 없이 선택 되다 제기 줄다 팬 톤 제품 일단 떨어뜨리다 하다 잘 고장 지다 같다 기존 제품 벌다 떨어지다 박살 고장 잘 쓰다 떨어지다 박살 날다 제품 가지 정도 되다 ㅜ 어쩌다 떨구다 동강 ㅜ 근데 뽑다 기운 어쩌다 없다 실물 만지다 탄탄 제품 다 아 같다 지금 사용 하다 제품 손가락 안 들어가다 이어폰 다사 남편 운전 고객 통화 진짜 많이 하다 에어 ㅍ 샤오 ㅁ 브리 ㅊ 좋다 이어폰 죄다 사다 사용 또 밧데리 다른 제품 두개 정도 풀다 충전 하다 차 항상 가지다 다니다 그래서 시중 판매 다른 종류 브랜드 사실 많이 가지다 요물 고가 제품 자체 주다 바디 감 아우라 값어치 하다 거지 블루 투스 이어폰 값 이상 하다 좀 사용 품질 저하 발생 그래서 약간 저렴 가성 비다 좋다 오래가다 또 새 교체 부담 없이 쓸다 수 이것저것 살다 편 전원 켜다 필요 없이 충전기 분리 되다 바로 전원 켜지다 기능 한몫 같다 고속 충전기 충전 하다 정상적 제품 가정 하 성비 사용 제품 같다 더 좋다 제품 많다 이 제품 괜찮다 제품 생각 되다 아무쪼록 다른 좋다 선택 하다 좋다 쿠 팡 체험단 이벤트 상품 무료 제공 받다 작성 하다 구매 후기,1
39879,"펜톤 TSX 다이아팟 블루투스 5.3 이어폰 커널형 버즈, TSX Diapot, 블랙",최고 가성 비 무선 이어폰 기존 사용 무선 이어폰 여러 벌다 떨어뜨리다 박살 나다 새롭다 이어폰 찾아보다 발견 하다 무선 이어폰 처음 보다 때 디자인 한번 끌리다 사용 시간 길다 자세히 보다 가다 괜찮다 같다 구매 되다 이 제품 최대 장점 단연 사용 시간 같다 밖 다니다 때 거의 항상 이어폰 꽂다 다니다 그러다 이어폰 배터리 되다 없다 같다 한번 충전 일주일 거뜬 사용 그 점 좋다 구 요 그리고 이 이어폰 기능 있다 굳이 게임 하다 이 기능 사용 소리 딜레이 줄이다 에유 튜브 보다 때 소리 싱크 잘 맞다 좋다 또한 여기다 주변 소리 감지기 능 있다 노이즈 캔 슬링 반대 이어폰 꽂다 다 가이 기능 사용 이어폰 꽂다 상태 밖 소리 더 잘 듣다 기능 방수 기능 있다 비 오다 때 물 들어가다 걱정 안 사용 있다 좋다 블루 투스 연결 범위 긷다 휴대폰 방 놔두다 잠깐 부엌 가다 때 블루 투스 끊이다 아서 불편 하다 점 없다 현재 잘 사용 앞 잘 사용 같다,1
39880,"펜톤 TSX 다이아팟 블루투스 5.3 이어폰 커널형 버즈, TSX Diapot, 블랙",이어폰 조금 크다 편 가성 비다 좋다 부담 없다 펜톤 블루 투스 이어폰 블랙 평가 요약 가격 부담 없다 잃어버리다 덜 아깝다 이어폰 갤럭시 에어 비하다 크다 편 충전 잘 되다 소리 괜찮다 구매 이유 신랑 갤럭시 벌써 잃다 짜증나다 그냥 쓰다 블루 투스 이어폰 알아보다 평이 많다 구매 확실히 가격 싸다 부담 없다 그런데 귀 꽂다 부분 꽤 크다 처음 좀 당황 그래도 잘 쓰다 다니다 한참 오래 쓰다 블루 투스 연결 잘 안되다 초기 세팅 다시 연결 다시 잘 되다 가성 비 좋다 같다 만족도 사용 기능 디자인 가격 품질,1
39881,"펜톤 TSX 다이아팟 블루투스 5.3 이어폰 커널형 버즈, TSX Diapot, 블랙",편하다 잘 들려오다 기존 쓰다 초 저리다 미 무선 이어폰 주방 화장실 가다 끊어지다 정도 끼다 있다 귀 아프다 빼다 야하다 통화 통화 거리감 멀다 상대방 말 잘 못 알아듣다 상황 많다 무선 이어폰 끼다 통화 절대 불가능 하다 그리다 산지 안 되다 주방 바닥 한쪽 떨어뜨리다 망가지다 급 때 남 한쪽 사용 무선 이어폰 선택 때 신중하 수 없다 일주일 정도 사용 펜톤 극 가성 비다 제품 고가 사용 부담 분 강추 제품 블랙 고급 디자인 휴대 좋다 사이즈 남녀 구분 없이 호불호 갈리다 택배 받다 그날 매일 짧다 길다 세시 정도 사용 아직 사용 가능 정도 배터리 효율 매우 좋다 습 다 연결 해 충전 케이스 내다 동시 바로 연결 되다 좌우 이어폰 독립적 사용 가능 편리 통화 양쪽 이어폰 상대방 목소리 들려다 스마트폰 통화 때 통화 더 선명 상대방 블루 투스 이어폰 통화 있다 모르다 정도 음질 좋다 아이 함께 경우 많다 복잡 손 많이 가다 번거롭다 크다 쓰다 기계 많다 펜톤 조작 간편 매일 사용 있다 고주 변소 감지기 능 있다 이어폰 빼다 아이 대화 가능 너무 좋다 집다 안 끊기다 없다 편리 잘 사용 쿠 팡 체험단 이벤트 상품 무료 제공 받다 작성 하다 구매 후기,1
39882,"펜톤 TSX 다이아팟 블루투스 5.3 이어폰 커널형 버즈, TSX Diapot, 블랙",첫 느낌 포장 패키지 가격대 재 품다 산 디자인 콤팩트 하다 깔끔 고급 있다 무게감 본체 상당히 가볍다 놀라다 가방 추가 되다 점점 무겁다 들다 다니다 부담 일단 가다 벼 울다 가지다 다니다 되다 착용감 처음 귀 꽉 차 느낌 계속 끼다 있다 괜찮다 전 뛰다 빠지다 이번 조깅 하다 안 떨어지다 운동 괜찮다 사용법 사용 설명서 주의 사항 정말 상세 적히다 사용 설명서 이렇게 상세 적히다 제품 처음 페어 링 쉽다 블루 투스 아이폰 연결 되다 켜다 블루 투스 잡다 쉽다 연결 되다 독립적 사용 되다 좋다 여러 방법 작동 가능 하다 매력 있다 하다 양쪽 이어폰 터치 버튼 각각 간 길다 누르다 전원 켜다 좌우 이어폰 전원 켜다 한글 안내 나오다 스마트폰 블루 투스 기능 활성화 장치 명 찾다 등록 사용 이어폰 충전 케이스 넣다 전원 자동 꺼지다 폐 링 해제 되다 충전 케이스 이어폰 다시 꺼내다 전원 켜지다 자동 페어 링 연결 되다 스마트폰 등록 양쪽 이어폰 사용 물론 왼쪽 이어폰 오른쪽 이어폰 독립적 사용 시 자유롭다 사용 가능 단 사용 갑자기 한쪽 이어폰 연결 되다 양쪽 이어폰 연결 안되다 때 이어폰 초기 화하다 전원 켜다 터치 버튼 간 길다 누다 전원 끄다 터치 버튼 간 길다 누다 재다 일시 정지 터치 버튼 짧다 누다 감다 터치 버튼 간 길다 누르다 이전 곡 이동 터치 버튼 짧다 누다 곡 이동 터치 버튼 짧다 누다 음량 감소 터치 버튼 짧다 누다 음량 증가 터치 버튼 짧다 활성화 터치 버튼 짧다 누다 게임 모드 터치 버튼 짧다 누다 종합 가격 댑 가성 비 좋다 제품 구매 의사 있다 아직 이렇다 단점 모르다 방수 되다 잠깐 수영 주의 도움 되다 도움 되다 부탁 드리다 쿠 팡 체험단 이벤트 상품 무료 제공 받다 작성 하다 구매 후기,0
